player,player_id,team,nationality,pos,overall,market_value,transfer_open,pace_score,shoot_score,pass_score,dribble_score,defense_score,physic_score,goals,xg_total,assists,key_passes,passes_total,pass_completion,dribbles_total,dribbles_won,pressures,progressive_passes,formations,best_formation,strengths,weaknesses,systems,competitions
Clément Lenglet,6826.0,Barcelona,EU,CB,95,540-870M€,68,82,45,95,69,99,99,0.0,0.5855627800000001,0,3,635.0,0.9196850393700787,7.0,4.0,112.0,266.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Vitesse', 'Précision passe', 'Passes progressives']",['Finition'],"['Ligne haute', 'Sortie balle au sol', 'Couverture de zone']",['La Liga 2020/21']
Piero Martín Hincapié Reyna,38004.0,Bayer Leverkusen,DE,CB,94,510-820M€,73,76,52,94,60,99,99,0.0,0.640650643,0,1,652.0,0.9049079754601227,5.0,2.0,98.0,187.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Précision passe', 'Passes progressives']",['Finition'],"['Ligne haute', 'Sortie balle au sol', 'Couverture de zone']",['Bundesliga 2023/24']
Sergio Ramos García,5201.0,Paris Saint-Germain,FR,CB,93,480-780M€,14,75,70,96,65,95,99,2.0,1.694973795,0,0,681.0,0.9295154185022027,3.0,2.0,88.0,353.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Précision passe', 'Passes progressives']","['Régularité', 'Expérience top niveau']","['Ligne haute', 'Sortie balle au sol', 'Couverture de zone']",['Ligue 1 2022/23']
Jordi Alba Ramos,5211.0,Barcelona,EU,LB,93,480-780M€,25,84,57,91,69,95,99,1.0,0.622461287,2,11,798.0,0.8483709273182958,10.0,4.0,88.0,186.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Vitesse', 'Passes progressives', 'Passes clés']",['Finition'],"['Piston offensif', 'Débordement', 'Centres']",['La Liga 2020/21']
Frenkie de Jong,8118.0,Barcelona,EU,CDM,91,420-690M€,85,99,44,95,94,99,99,0.0,0.48142251599999997,1,12,747.0,0.9196787148594378,18.0,15.0,106.0,221.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passe de qualité', 'Dribble efficace', 'Pressing intense', 'Vitesse', 'Précision passe']",['Finition'],"['Double pivot', 'Récupération', 'Bloc bas']",['La Liga 2020/21']
Vitor Machado Ferreira,34639.0,Paris Saint-Germain,FR,CDM,90,400-650M€,8,92,50,96,81,99,99,0.0,0.607647731,2,5,647.0,0.9273570324574961,13.0,8.0,157.0,204.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passe de qualité', 'Dribble efficace', 'Pressing intense', 'Vitesse', 'Précision passe']",['Finition'],"['Double pivot', 'Récupération', 'Bloc bas']",['Ligue 1 2022/23']
Jonathan Tah,8221.0,Bayer Leverkusen,DE,CB,90,400-650M€,10,71,49,97,71,88,99,0.0,0.738013774,1,1,829.0,0.9565741857659831,1.0,1.0,76.0,275.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Précision passe', 'Passes progressives']",['Finition'],"['Ligne haute', 'Sortie balle au sol', 'Couverture de zone']",['Bundesliga 2023/24']
Robert Andrich,9195.0,Bayer Leverkusen,DE,CDM,90,400-650M€,32,85,61,94,75,99,99,3.0,1.1992252015,1,17,699.0,0.8955650929899857,9.0,6.0,113.0,215.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passe de qualité', 'Pressing intense', 'Vitesse', 'Précision passe', 'Passes progressives']","['Régularité', 'Expérience top niveau']","['Double pivot', 'Récupération', 'Bloc bas']",['Bundesliga 2023/24']
Granit Xhaka,3500.0,Bayer Leverkusen,DE,CDM,90,400-650M€,44,75,58,96,75,99,99,3.0,0.895927495,0,15,1159.0,0.9283865401207938,3.0,3.0,99.0,374.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passe de qualité', 'Pressing intense', 'Précision passe', 'Passes progressives', 'Efficacité but']",['Finition'],"['Double pivot', 'Récupération', 'Bloc bas']",['Bundesliga 2023/24']
Marcos Aoás Corrêa,4372.0,Paris Saint-Germain,FR,CB,88,350-570M€,30,70,44,95,40,87,98,0.0,0.46186154700000004,0,2,624.0,0.9310897435897436,0.0,0.0,75.0,283.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Précision passe', 'Passes progressives']","['Finition', 'Dribble']","['Ligne haute', 'Sortie balle au sol', 'Couverture de zone']",['Ligue 1 2022/23']
Sergio Busquets i Burgos,5203.0,Barcelona,EU,CDM,88,350-570M€,68,76,40,95,76,99,99,0.0,0.0,1,4,788.0,0.9048223350253807,4.0,4.0,143.0,240.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passe de qualité', 'Pressing intense', 'Précision passe', 'Passes progressives', 'Passes clés']",['Finition'],"['Double pivot', 'Récupération', 'Bloc bas']",['La Liga 2020/21']
Achraf Hakimi Mouh,5245.0,Paris Saint-Germain,FR,RWB,88,350-570M€,6,78,64,76,85,99,86,1.0,0.34268507,0,4,373.0,0.8954423592493298,17.0,9.0,109.0,59.0,"['3-4-3', '3-5-2', '5-3-2']",3-4-3,"['Dribble efficace', 'Pressing intense', 'Précision passe', 'Passes progressives', 'Passes clés']","['Régularité', 'Expérience top niveau']","['Piston droit', '3 derrière', 'Transitions']",['Ligue 1 2022/23']
