player,player_id,team,nationality,pos,overall,market_value,transfer_open,pace_score,shoot_score,pass_score,dribble_score,defense_score,physic_score,goals,xg_total,assists,key_passes,passes_total,pass_completion,dribbles_total,dribbles_won,pressures,progressive_passes,formations,best_formation,strengths,weaknesses,systems,competitions
Clément Lenglet,6826.0,Barcelona,EU,CB,90,400-650M€,72,76,42,95,57,89,99,0.0,0.16972353,0.0,0.0,398.0,0.9271356783919598,3.0,1.0,62.0,166.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Précision passe', 'Passes progressives']","['Finition', 'Dribble']","['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['La Liga 2020/21']
Nuno Mendes,41092.0,Paris Saint-Germain,FR,LB,89,370-610M€,12,90,69,85,84,98,80,1.0,1.1586964,0.0,0.0,321.0,0.8940809968847352,22.0,11.0,74.0,104.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Passe de qualité', 'Dribble efficace', 'Pressing intense', 'Vitesse', 'Précision passe']","['Régularité', 'Expérience top niveau']","['Piston offensif', 'Débordement', 'Centres']",['Ligue 1 2022/23']
Robert Andrich,9195.0,Bayer Leverkusen,DE,CDM,89,370-610M€,74,90,60,94,80,94,99,2.0,0.929882167,0.0,0.0,475.0,0.9031578947368422,9.0,6.0,68.0,157.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passe de qualité', 'Dribble efficace', 'Pressing intense', 'Vitesse', 'Précision passe']","['Régularité', 'Expérience top niveau']","['Double pivot', 'Récupération', 'Bloc bas']",['Bundesliga 2023/24']
Sergio Busquets i Burgos,5203.0,Barcelona,EU,CDM,88,350-570M€,46,79,40,95,79,99,99,0.0,0.0,0.0,0.0,500.0,0.916,4.0,4.0,84.0,154.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passe de qualité', 'Pressing intense', 'Précision passe', 'Passes progressives', 'Dribble réussi']",['Finition'],"['Double pivot', 'Récupération', 'Bloc bas']",['La Liga 2020/21']
Marco Verratti,3166.0,Paris Saint-Germain,FR,CDM,87,200-320M€,6,81,48,94,69,99,99,0.0,0.205030106,0.0,0.0,524.0,0.900763358778626,5.0,3.0,132.0,150.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passe de qualité', 'Pressing intense', 'Vitesse', 'Précision passe', 'Passes progressives']",['Finition'],"['Double pivot', 'Récupération', 'Bloc bas']",['Ligue 1 2022/23']
Edmond Fayçal Tapsoba,30606.0,Bayer Leverkusen,DE,CB,87,200-320M€,45,76,43,95,66,80,99,0.0,0.24447009,0.0,0.0,424.0,0.9127358490566038,3.0,2.0,50.0,151.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Précision passe', 'Passes progressives']",['Finition'],"['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['Bundesliga 2023/24']
Jordi Alba Ramos,5211.0,Barcelona,EU,LB,86,180-300M€,63,74,57,89,57,81,99,1.0,0.567488824,0.0,0.0,450.0,0.8444444444444444,5.0,1.0,52.0,114.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Passes progressives']","['Finition', 'Dribble']","['Piston offensif', 'Débordement', 'Centres']",['La Liga 2020/21']
Pedro González López,30486.0,Barcelona,EU,CM,84,160-260M€,67,76,46,84,73,99,95,0.0,0.169435123,0.0,0.0,309.0,0.8673139158576052,6.0,4.0,109.0,112.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Passe de qualité', 'Pressing intense', 'Passes progressives']",['Finition'],"['Box-to-box', 'Pressing collectif', 'Transitions']",['La Liga 2020/21']
Granit Xhaka,3500.0,Bayer Leverkusen,DE,CDM,84,160-260M€,28,72,57,95,72,79,99,2.0,0.764400179,0.0,0.0,514.0,0.9046692607003892,1.0,1.0,49.0,183.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Passe de qualité', 'Précision passe', 'Passes progressives']",['Finition'],"['Double pivot', 'Récupération', 'Bloc bas']",['Bundesliga 2023/24']
Vitor Machado Ferreira,34639.0,Paris Saint-Germain,FR,CM,84,160-260M€,26,80,52,87,80,99,84,0.0,0.531410034,0.0,0.0,345.0,0.910144927536232,9.0,6.0,106.0,98.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Passe de qualité', 'Dribble efficace', 'Pressing intense', 'Vitesse', 'Précision passe']",['Finition'],"['Box-to-box', 'Pressing collectif', 'Transitions']",['Ligue 1 2022/23']
